area,date,href,price,name
"Goregaon, Mumbai",18  Apr						    						,https://www.olx.in/item/scientific-calculator-fx-82ms-for-300-only-ID1bhuxn.html#59915fb10a,,Scientific calculator fx 82MS for 300/- only
"Chuna Bhati, Mumbai",16  Apr						    						,https://www.olx.in/item/fx-82ms-scientific-calculator-price-is-negotiable-ID1b835F.html#59915fb10a,"
								450								",fx-82MS scientific calculator.Price is negotiable.
"Vikhroli West, Mumbai",14  Apr						    						,https://www.olx.in/item/black-casio-scientific-calculator-991ms-ID1b61Qt.html#59915fb10a,"
								450								",Black Casio scientific Calculator 991Ms
"Kandivali, Mumbai",11  Apr						    						,https://www.olx.in/item/casio-scientific-calculator-model-fx-100ms-good-ID1b2y4w.html#59915fb10a,"
								500								",Casio scientific calculator model- fx-100ms good
"Mumbai Central, Mumbai",19  Feb						    						,https://www.olx.in/item/casio-fx-991ms-scientific-calculator-in-new-ID19MTLL.html#af53677832,"
								300								",Casio fx-991Ms scientific calculator in new
"Kurla West, Mumbai",17  Feb						    						,https://www.olx.in/item/fx-991ms-scientific-calculator-price-is-ID1axw9F.html#af53677832,"
								500								",fx-991MS scientific calculator.Price is
"Mumbai Central, Mumbai",12  Feb						    						,https://www.olx.in/item/scientific-calculator-casio-fx-82ms-ID19Oip9.html#af53677832,"
								200								",Scientific calculator Casio fx-82Ms.
"Mumbai Central, Mumbai",7  Feb						    						,https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID19uoOP.html#af53677832,"
								300								",Casio fx-991Ms scientific calculator.
"Kandivali West, Mumbai",6  Feb						    						,https://www.olx.in/item/gray-and-black-casio-scientific-calculator-ID18yfSx.html#af53677832,"
								550								",Gray And Black Casio Scientific Calculator
"Jogeshwari, Mumbai",15  Dec						    						,https://www.olx.in/item/casio-scientific-calculator-fx-991-ID18JZYR.html#af53677832,"
								500								",Casio Scientific Calculator fx-991
"Andheri West, Mumbai",24  Nov						    						,https://www.olx.in/item/scientific-calculator-new-condition-ID18qupN.html#af53677832,"
								3500								",scientific calculator new condition
"Bandra, Mumbai",15  Nov						    						,https://www.olx.in/item/casio-fx82ms-10-2-digit-scientific-calculator-with-multi-replay-func-ID184x5t.html#af53677832,"
								300								",Casio Fx82ms - 10+2 Digit Scientific Calculator With Multi-replay Func
"Malad, Mumbai",15  Nov						    						,https://www.olx.in/item/casio-fx-991-es-scientific-calculator-jst-for-rs-700-ID18ixfR.html#af53677832,"
								700								",Casio FX-991 ES Scientific Calculator jst for Rs 700/-
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
name,date,href,price,area
Casio fx-991Ms scientific calculator in new,19  Feb						    						,https://www.olx.in/item/casio-fx-991ms-scientific-calculator-in-new-ID19MTLL.html#af53677832,"
								300								","Mumbai Central, Mumbai"
fx-991MS scientific calculator.Price is,17  Feb						    						,https://www.olx.in/item/fx-991ms-scientific-calculator-price-is-ID1axw9F.html#af53677832,"
								500								","Kurla West, Mumbai"
Scientific calculator Casio fx-82Ms.,12  Feb						    						,https://www.olx.in/item/scientific-calculator-casio-fx-82ms-ID19Oip9.html#af53677832,"
								200								","Mumbai Central, Mumbai"
Casio fx-991Ms scientific calculator.,7  Feb						    						,https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID19uoOP.html#af53677832,"
								300								","Mumbai Central, Mumbai"
Gray And Black Casio Scientific Calculator,6  Feb						    						,https://www.olx.in/item/gray-and-black-casio-scientific-calculator-ID18yfSx.html#af53677832,"
								550								","Kandivali West, Mumbai"
Casio Scientific Calculator fx-991,15  Dec						    						,https://www.olx.in/item/casio-scientific-calculator-fx-991-ID18JZYR.html#af53677832,"
								500								","Jogeshwari, Mumbai"
scientific calculator new condition,24  Nov						    						,https://www.olx.in/item/scientific-calculator-new-condition-ID18qupN.html#af53677832,"
								3500								","Andheri West, Mumbai"
Casio Fx82ms - 10+2 Digit Scientific Calculator With Multi-replay Func,15  Nov						    						,https://www.olx.in/item/casio-fx82ms-10-2-digit-scientific-calculator-with-multi-replay-func-ID184x5t.html#af53677832,"
								300								","Bandra, Mumbai"
Casio FX-991 ES Scientific Calculator jst for Rs 700/-,15  Nov						    						,https://www.olx.in/item/casio-fx-991-es-scientific-calculator-jst-for-rs-700-ID18ixfR.html#af53677832,"
								700								","Malad, Mumbai"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Casio Fx-991es Scientific Calculator (two Way Powered),Yesterday						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-two-way-powered-ID1cr6p9.html#59915fb10a,"
								500								","Borivali, Mumbai"
Grey And White Casio Scientific Calculator,Yesterday						    						,https://www.olx.in/item/grey-and-white-casio-scientific-calculator-ID1cqDpD.html#59915fb10a,"
								700								","Vidya Vihar, Mumbai"
Casio fx - 82 MS Scientific calculator 2017 Model,14  Jun						    						,https://www.olx.in/item/casio-fx-82-ms-scientific-calculator-2017-model-ID1cpJB5.html#59915fb10a,"
								300								","Dahisar, Mumbai"
Casio Scientific Calculator Fx-991MS,13  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fx-991ms-ID1brqpx.html#59915fb10a,"
								420								","Bhandup Industrial Area, Mumbai"
casio fx-991ES scientific calculator working properly,11  Jun						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-working-properly-ID1c4A21.html#59915fb10a,"
								400								","Malad, Mumbai"
Scientific Engineering calculator CASIO fx 991MS,11  Jun						    						,https://www.olx.in/item/scientific-engineering-calculator-casio-fx-991ms-ID1clAkz.html#59915fb10a,"
								450								","Malad, Mumbai"
Casio Scientific Calculator fx991 ES,11  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fx991-es-ID1cleP9.html#59915fb10a,"
								430								","Kurla West, Mumbai"
Black And Gray BA 2-PLus Scientific Calculator In Pack,10  Jun						    						,https://www.olx.in/item/black-and-gray-ba-2-plus-scientific-calculator-in-pack-ID1ckfPP.html#59915fb10a,"
								2300								","Andheri, Mumbai"
Casio Scientific Calculator FX-100Z,8  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fx-100z-ID1ci2H7.html#59915fb10a,"
								100								","Andheri East, Mumbai"
Casio scientific calculator,8  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-ID1chozX.html#59915fb10a,"
								1300								","Gamdevi, Mumbai"
fx-991ES Scientific Calculator,8  Jun						    						,https://www.olx.in/item/fx-991es-scientific-calculator-ID1ch4ll.html#59915fb10a,"
								450								","Chuna Bhati, Mumbai"
Casio fx-991MS scientific calculator,7  Jun						    						,https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID1cgwoB.html#59915fb10a,"
								400								","Powai, Mumbai"
Casio FX-991 MS Scientific Calculator. Brand new box packed item,5  Jun						    						,https://www.olx.in/item/casio-fx-991-ms-scientific-calculator-brand-new-box-packed-item-ID1c78bZ.html#59915fb10a,"
								650								","Borivali West, Mumbai"
Grey And Black Casio Scientific Calculator,4  Jun						    						,https://www.olx.in/item/grey-and-black-casio-scientific-calculator-ID1aX3fj.html#59915fb10a,"
								400								","Mulund, Mumbai"
Full working condition scientific calculator,4  Jun						    						,https://www.olx.in/item/full-working-condition-scientific-calculator-ID1c5Nrf.html#59915fb10a,"
								1000								","Andheri, Mumbai"
"scientific calculator, second hand for sale. no",3  Jun						    						,https://www.olx.in/item/scientific-calculator-second-hand-for-sale-no-ID1cbJEh.html#59915fb10a,"
								300								","Tilak Nagar, Mumbai"
Black Casio Scientific Calculator,2  Jun						    						,https://www.olx.in/item/black-casio-scientific-calculator-ID1c3wl7.html#59915fb10a,"
								200								","Mulund West, Mumbai"
casio scientific calculator fully working,2  Jun						    						,https://www.olx.in/item/casio-scientific-calculator-fully-working-ID1c3gRb.html#59915fb10a,"
								500								","Dadar East, Mumbai"
Casio fx-991es scientific calculator in excellent,1  Jun						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID1bRMof.html#59915fb10a,"
								450								","Mumbai Central, Mumbai"
Scientific calculator casio fx-991es.,31  May						    						,https://www.olx.in/item/scientific-calculator-casio-fx-991es-ID1c0O2r.html#59915fb10a,"
								250								","Mumbai Central, Mumbai"
Casio Scientific Calculator,30  May						    						,https://www.olx.in/item/casio-scientific-calculator-ID1bZTLh.html#59915fb10a,"
								350								","Borivali, Mumbai"
FX-99IES Scientific calculator,30  May						    						,https://www.olx.in/item/fx-99ies-scientific-calculator-ID1bZJ7H.html#59915fb10a,"
								600								","Kandivali West, Mumbai"
Black Casio Scientific Calculator fx-82 Ms.,30  May						    						,https://www.olx.in/item/black-casio-scientific-calculator-fx-82-ms-ID19yTpz.html#59915fb10a,"
								200								","Mumbai Central, Mumbai"
Three Casio Scientific Calculators,30  May						    						,https://www.olx.in/item/three-casio-scientific-calculators-ID1bKRL1.html#59915fb10a,"
								1500								","Powai, Mumbai"
"This is scientific calculator, CASIO company,",29  May						    						,https://www.olx.in/item/this-is-scientific-calculator-casio-company-ID1bYPpz.html#59915fb10a,"
								500								","Sion, Mumbai"
Black Casio Scientific Calculator,28  May						    						,https://www.olx.in/item/black-casio-scientific-calculator-ID1bXAGJ.html#59915fb10a,"
								725								","Dadar West, Mumbai"
Black Casio Scientific Calculator,28  May						    						,https://www.olx.in/item/black-casio-scientific-calculator-ID1bVK7B.html#59915fb10a,"
								600								","Santacruz West, Mumbai"
Casio fx-100MS Scientific Calculator,27  May						    						,https://www.olx.in/item/casio-fx-100ms-scientific-calculator-ID1bVa5F.html#59915fb10a,"
								400								","Kandivali, Mumbai"
Casio fx-991es scientific calculator in excellent,27  May						    						,https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID19WZo7.html#59915fb10a,"
								450								","Mumbai Central, Mumbai"
"BISTEC BS- 82MS, Scientific Calculator, hardly",25  May						    						,https://www.olx.in/item/bistec-bs-82ms-scientific-calculator-hardly-ID1bTrXH.html#59915fb10a,"
								385								","Malad West, Mumbai"
"BISTEC BS- 82MS, Scientific Calculator, hardly",25  May						    						,https://www.olx.in/item/bistec-bs-82ms-scientific-calculator-hardly-ID1bTs49.html#59915fb10a,"
								385								","Malad West, Mumbai"
Black Casio Scientific Calculator,19  May						    						,https://www.olx.in/item/black-casio-scientific-calculator-ID1bS9a5.html#59915fb10a,"
								400								","Andheri Lokhandwala Complex, Mumbai"
Scientific Calculator,18  May						    						,https://www.olx.in/item/scientific-calculator-ID1aIqx5.html#59915fb10a,"
								570								","Kandivali West, Mumbai"
4 Vintage Casio scientific calculators in good condition,17  May						    						,https://www.olx.in/item/4-vintage-casio-scientific-calculators-in-good-condition-ID1bQ1hh.html#59915fb10a,"
								4000								","Borivali West, Mumbai"
Scientific calculator fx 82MS for 300/- only,18  Apr						    						,https://www.olx.in/item/scientific-calculator-fx-82ms-for-300-only-ID1bhuxn.html#59915fb10a,,"Goregaon, Mumbai"
fx-82MS scientific calculator.Price is negotiable.,16  Apr						    						,https://www.olx.in/item/fx-82ms-scientific-calculator-price-is-negotiable-ID1b835F.html#59915fb10a,"
								450								","Chuna Bhati, Mumbai"
Black Casio scientific Calculator 991Ms,14  Apr						    						,https://www.olx.in/item/black-casio-scientific-calculator-991ms-ID1b61Qt.html#59915fb10a,"
								450								","Vikhroli West, Mumbai"
Casio scientific calculator model- fx-100ms good,11  Apr						    						,https://www.olx.in/item/casio-scientific-calculator-model-fx-100ms-good-ID1b2y4w.html#59915fb10a,"
								500								","Kandivali, Mumbai"
