index,area,date,href,name,price
49,"['Powai, Mumbai']",['7  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID1cgwoB.html#59915fb10a'],49,['\n\t\t\t\t\t\t\t\t400\t\t\t\t\t\t\t\t']
50,"['Borivali West, Mumbai']",['5  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991-ms-scientific-calculator-brand-new-box-packed-item-ID1c78bZ.html#59915fb10a'],50,['\n\t\t\t\t\t\t\t\t650\t\t\t\t\t\t\t\t']
51,"['Mulund, Mumbai']",['4  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/grey-and-black-casio-scientific-calculator-ID1aX3fj.html#59915fb10a'],51,['\n\t\t\t\t\t\t\t\t400\t\t\t\t\t\t\t\t']
52,"['Andheri, Mumbai']",['4  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/full-working-condition-scientific-calculator-ID1c5Nrf.html#59915fb10a'],52,['\n\t\t\t\t\t\t\t\t1000\t\t\t\t\t\t\t\t']
53,"['Tilak Nagar, Mumbai']",['3  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/scientific-calculator-second-hand-for-sale-no-ID1cbJEh.html#59915fb10a'],53,['\n\t\t\t\t\t\t\t\t300\t\t\t\t\t\t\t\t']
54,"['Mulund West, Mumbai']",['2  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/black-casio-scientific-calculator-ID1c3wl7.html#59915fb10a'],54,['\n\t\t\t\t\t\t\t\t200\t\t\t\t\t\t\t\t']
55,"['Dadar East, Mumbai']",['2  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-scientific-calculator-fully-working-ID1c3gRb.html#59915fb10a'],55,['\n\t\t\t\t\t\t\t\t500\t\t\t\t\t\t\t\t']
56,"['Mumbai Central, Mumbai']",['1  Jun\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID1bRMof.html#59915fb10a'],56,['\n\t\t\t\t\t\t\t\t450\t\t\t\t\t\t\t\t']
57,"['Mumbai Central, Mumbai']",['31  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/scientific-calculator-casio-fx-991es-ID1c0O2r.html#59915fb10a'],57,['\n\t\t\t\t\t\t\t\t250\t\t\t\t\t\t\t\t']
58,"['Borivali, Mumbai']",['30  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-scientific-calculator-ID1bZTLh.html#59915fb10a'],58,['\n\t\t\t\t\t\t\t\t350\t\t\t\t\t\t\t\t']
59,"['Kandivali West, Mumbai']",['30  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/fx-99ies-scientific-calculator-ID1bZJ7H.html#59915fb10a'],59,['\n\t\t\t\t\t\t\t\t600\t\t\t\t\t\t\t\t']
60,"['Mumbai Central, Mumbai']",['30  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/black-casio-scientific-calculator-fx-82-ms-ID19yTpz.html#59915fb10a'],60,['\n\t\t\t\t\t\t\t\t200\t\t\t\t\t\t\t\t']
61,"['Powai, Mumbai']",['30  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/three-casio-scientific-calculators-ID1bKRL1.html#59915fb10a'],61,['\n\t\t\t\t\t\t\t\t1500\t\t\t\t\t\t\t\t']
62,"['Sion, Mumbai']",['29  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/this-is-scientific-calculator-casio-company-ID1bYPpz.html#59915fb10a'],62,['\n\t\t\t\t\t\t\t\t500\t\t\t\t\t\t\t\t']
